,Car_type,Car_name,year,time,horizontal_angle,vertical_angle,file_name,file_path
0,Sedan,aslan,2015,10,0,0,현대_아슬란_2015_10시대_H0_V0.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H0\crops\car\현대_아슬란_2015_10시대_H0_V0.jpg
1,Sedan,aslan,2015,10,0,15,현대_아슬란_2015_10시대_H0_V15.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H0\crops\car\현대_아슬란_2015_10시대_H0_V15.jpg
2,Sedan,aslan,2015,10,0,30,현대_아슬란_2015_10시대_H0_V30.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H0\crops\car\현대_아슬란_2015_10시대_H0_V30.jpg
3,Sedan,aslan,2015,10,0,45,현대_아슬란_2015_10시대_H0_V45.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H0\crops\car\현대_아슬란_2015_10시대_H0_V45.jpg
4,Sedan,aslan,2015,10,0,60,현대_아슬란_2015_10시대_H0_V60.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H0\crops\parking meter\현대_아슬란_2015_10시대_H0_V60.jpg
5,Sedan,aslan,2015,10,105,15,현대_아슬란_2015_10시대_H105_V15.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H105\crops\car\현대_아슬란_2015_10시대_H105_V15.jpg
6,Sedan,aslan,2015,10,105,30,현대_아슬란_2015_10시대_H105_V30.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H105\crops\car\현대_아슬란_2015_10시대_H105_V30.jpg
7,Sedan,aslan,2015,10,105,45,현대_아슬란_2015_10시대_H105_V45.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H105\crops\car\현대_아슬란_2015_10시대_H105_V45.jpg
8,Sedan,aslan,2015,10,105,60,현대_아슬란_2015_10시대_H105_V60.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H105\crops\car\현대_아슬란_2015_10시대_H105_V60.jpg
9,Sedan,aslan,2015,10,120,0,현대_아슬란_2015_10시대_H120_V0.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H120\crops\car\현대_아슬란_2015_10시대_H120_V0.jpg
10,Sedan,aslan,2015,10,120,15,현대_아슬란_2015_10시대_H120_V15.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H120\crops\car\현대_아슬란_2015_10시대_H120_V15.jpg
11,Sedan,aslan,2015,10,120,30,현대_아슬란_2015_10시대_H120_V30.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H120\crops\car\현대_아슬란_2015_10시대_H120_V30.jpg
12,Sedan,aslan,2015,10,120,45,현대_아슬란_2015_10시대_H120_V45.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H120\crops\car\현대_아슬란_2015_10시대_H120_V45.jpg
13,Sedan,aslan,2015,10,120,60,현대_아슬란_2015_10시대_H120_V60.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H120\crops\car\현대_아슬란_2015_10시대_H120_V60.jpg
14,Sedan,aslan,2015,10,135,0,현대_아슬란_2015_10시대_H135_V0.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H135\crops\car\현대_아슬란_2015_10시대_H135_V0.jpg
15,Sedan,aslan,2015,10,135,15,현대_아슬란_2015_10시대_H135_V15.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H135\crops\car\현대_아슬란_2015_10시대_H135_V15.jpg
16,Sedan,aslan,2015,10,135,30,현대_아슬란_2015_10시대_H135_V30.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H135\crops\car\현대_아슬란_2015_10시대_H135_V30.jpg
17,Sedan,aslan,2015,10,135,45,현대_아슬란_2015_10시대_H135_V45.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H135\crops\car\현대_아슬란_2015_10시대_H135_V45.jpg
18,Sedan,aslan,2015,10,135,60,현대_아슬란_2015_10시대_H135_V60.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H135\crops\car\현대_아슬란_2015_10시대_H135_V60.jpg
19,Sedan,aslan,2015,10,15,0,현대_아슬란_2015_10시대_H15_V0.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H15\crops\car\현대_아슬란_2015_10시대_H15_V0.jpg
20,Sedan,aslan,2015,10,15,15,현대_아슬란_2015_10시대_H15_V15.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H15\crops\car\현대_아슬란_2015_10시대_H15_V15.jpg
21,Sedan,aslan,2015,10,15,30,현대_아슬란_2015_10시대_H15_V30.jpg,C:/Users/USER/cp2/yolov5/runs/detect\Sedan\aslan\2015\10\H15\crops\car\현대_아슬란_2015_10시대_H15_V30.jpg
